"","team","tm_short","tm_lng"
"1","Arizona Diamondbacks","ARI","ARI"
"2","Atlanta Braves","ATL","ATL"
"3","Baltimore Orioles","BAL","BAL"
"4","Boston Red Sox","BOS","BOS"
"5","Chicago Cubs","CHC","CHC"
"6","Chicago White Sox","CHW","CHW"
"7","Cincinnati Reds","CIN","CIN"
"8","Cleveland Indians","CLE","CLE"
"9","Colorado Rockies","COL","COL"
"10","Detroit Tigers","DET","DET"
"11","Houston Astros","HOU","HOU"
"12","Kansas City Royals","KC","KCR"
"13","Los Angeles Angels of Anaheim","LAA","LAA"
"14","Los Angeles Dodgers","LAD","LAD"
"15","Miami Marlins","MIA","MIA"
"16","Milwaukee Brewers","MIL","MIL"
"17","Minnesota Twins","MIN","MIN"
"18","New York Mets","NYM","NYM"
"19","New York Yankees","NYY","NYY"
"20","Oakland Athletics","OAK","OAK"
"21","Philadelphia Phillies","PHI","PHI"
"22","Pittsburgh Pirates","PIT","PIT"
"23","San Diego Padres","SD","SDP"
"24","San Francisco Giants","SF","SFG"
"25","Seattle Mariners","SEA","SEA"
"26","St Louis Cardinals","STL","STL"
"27","Tampa Bay Rays","TB","TBR"
"28","Texas Rangers","TEX","TEX"
"29","Toronto Blue Jays","TOR","TOR"
"30","Washington Nationals","WSH","WSH"
